id,text
b1nota1,"Los quipus eran sistemas de cuerdas con nudos utilizados por los incas y otras culturas andinas para registrar información. A través de la posición, tipo y cantidad de nudos, se representaban números y datos relacionados con censos, tributos, cosechas y otros aspectos administrativos."
b1nota2,"Los glifos mesoamericanos eran símbolos utilizados por antiguas culturas como los mayas y los mexicas para representar palabras, sonidos e ideas. Formaban sistemas de escritura complejos que combinaban elementos fonéticos y logográficos."
b3nota1,"Se refiere a Paris, criado como pastor en el monte Ida para evitar una profecía que decía que causaría la caída de Troya. "
b3nota2,"En algunos textos literarios y satíricos del Siglo de Oro, la Bizca es una forma irónica de referirse a Venus, la diosa del amor, destacando cómo su poder de seducción trasciende los cánones clásicos de belleza."
b3nota3,"Vulcano, el dios romano del fuego y la forja, era representado como un herrero cojo."
b4nota1,"En la mitología griega, los Campos Elíseos eran el lugar del más allá reservado para las almas virtuosas y heroicas."
b6nota1,"El Virreinato del Perú, establecido en 1542, fue uno de los más importantes de la América colonial española, abarcando vastos territorios que incluían gran parte de Sudamérica. "
b6nota2,La leyenda de San Borondón refería a una novena isla canaria que 'aparecía' entre las nubes de vez en cuando entre La Palma y el Hierro. Varios mapas medievales la situaban en el archipiélago canario.
b8nota1,fortificaciones en forma de pequeñas villas
b8nota2,clavija de cobre o bronce con que se tapa el chile de la pólvora
c1nota1,cabequin
c1nota2,"Antigua embarcación de considerables dimensiones, generalmente de vela."
c1nota3,el campo o tierra que esta a la salida del lugar que no se planta ni se labra y es comun para todos los vecinos
c1nota4,"Tienda donde se venden artículos de uso cotidiano, principalmente comestibles."
c1nota5,"Pereza, haraganería, flojedad o aversión al trabajo."
c2nota1,Gauderios es un termino de origen portugues que se utilizaba para referirse a los guachos que habitaron por primera vez la zona del Rio de la Plata
c2nota2,legos
c2nota3,donados
c3nota1,guarnecen
c3nota2,trajinan
c4nota1,Los merinos son un tipo de oveja domestica originaria de España
c5nota1,Coplas son composiciones poeticas breves de cuatros versos que se caracterizan por contar con un lenguaje simple y coloquial
c6nota1,"Cabestro hace referencia a un buey manso que sirve de guia a las reservas bravas, principalmente en un encierro"
c7nota2,"La rabadilla es la punta o exteemidad de la columna vertebral, formada por la ultima pieza del hueso sacro y por todas las del coxis"
c7nota3,El rescoldo es la brasa menuda resguardada por la ceniza
c7nota4,"Los caracuces, plural del caracu, es el tuetano de los animales, en particular de vacunos. El origen de la palabra proviene del guarani utilizada en Argentina, Chile, Paraguay y Uruguay. "
c7nota5,El tuetano es la sustancia semi-grasa que se encuentra en el interior de los huesos de la medula
